bbl,exemptions,registered_stabilized_apts,pluto_apts,estimated_gross_income,estimated_expenses
1000690006,421a (20 yr not cap,189,189,1.001e+07,3.30336e+06
1001760026,new mult dwellings - 421a,,146,166500,50700
1002840019,new mult dwellings - 421a,,20,149515,60414
1003500031,new mult dwellings - 421a,,17,643564,138031
1003940036,new mult dwellings - 421a,35,35,126690,33735
1003780040,421a (25 yr not cap,,0,,
1004010024,new mult dwellings - 421a,11,11,313565,88336
1004060048,new mult dwellings - 421a,,26,979433,218118
1004120053,421a (20 yr not cap,243,243,287485,33975
1004710054,new mult dwellings - 421a,,4,,
1004450045,new mult dwellings - 421a,,45,1.45702e+06,291259
1004570028,421a (20 yr not cap,90,90,5.18342e+06,1.39837e+06
1004620035,421a (20 yr not cap,86,86,2.756e+06,680000
1004700003,new mult dwellings - 421a,,5,83616,16472
1004890001,new mult dwellings - 421a,39,39,36000,2500
1005820043,new mult dwellings - 421a,,4,,
1005940044,new mult dwellings - 421a,,0,,
1004920037,new mult dwellings - 421a,7,7,124800,43680
1005300044,new mult dwellings - 421a,,14,127900,30500
1006950006,new mult dwellings - 421a,,0,,
1005390037,new mult dwellings - 421a,,15,739046,252357
1005440065,new mult dwellings - 421a,132,133,122700,17400
1005950001,421a (20 yr not cap,,107,190000,19500
1006020010,new mult dwellings - 421a,135,136,4.842e+06,1.2e+06
1006360070,new mult dwellings - 421a,,97,3.035e+06,303000
1009330010,421a (20 yr not cap,,0,,
1006410017,421a (20 yr not cap,148,148,4.13e+06,870000
2022830123,421a (25 yr not cap,,3,,
2022830124,421a (25 yr not cap,,3,,
2022860096,421a (25 yr not cap,,3,,
3032070013,421a (25 yr not cap,,4,,
3032090024,421a (25 yr not cap,,3,,
3032140129,421a (25 yr not cap,,3,,
3032260003,421a (25 yr not cap,,3,,
3032260004,421a (25 yr not cap,,3,,
2025240101,421a (15 yr not cap),,4,,
2025240102,421a (15 yr not cap),,4,,
2025240103,421a (15 yr not cap),,4,,
2025240104,421a (15 yr not cap),,4,,
2025240105,421a (15 yr not cap),,4,,
2025240106,421a (15 yr not cap),,4,,
2025240107,421a (15 yr not cap),,4,,
2025240109,421a (15 yr not cap),,4,,
2025240114,421a (25 yr not cap,,3,,
2025240206,421a (25 yr not cap,,3,,
2025240207,421a (25 yr not cap,,3,,
2025260058,421a (25 yr not cap,,3,,
2025260158,421a (25 yr not cap,,3,,
2025260159,421a (25 yr not cap,,3,,
2025260160,421a (25 yr not cap,,3,,
2025260161,421a (25 yr not cap,,3,,
2025280056,421a (25 yr not cap,,3,,
2025280057,421a (25 yr not cap,,3,,
2025280058,421a (25 yr not cap,,3,,
2025280060,421a (25 yr not cap,,3,,
2025280061,421a (25 yr not cap,,3,,
2025800042,421a (15 yr not cap),,3,,
2025800142,421a (15 yr not cap),,3,,
2026070002,421a (25 yr not cap,,3,,
2026070003,421a (25 yr not cap,,3,,
2026070004,421a (25 yr not cap,,3,,
2026070005,421a (25 yr not cap,,3,,
2026830136,421a (25 yr not cap,,3,,
2026860018,421a (25 yr not cap,,3,,
2026860019,421a (25 yr not cap,,3,,
2026910149,421a (25 yr not cap,,3,,
2026910150,421a (25 yr not cap,,3,,
2026910151,421a (25 yr not cap,,3,,
2026910158,421a (25 yr not cap,,3,,
2026910159,421a (25 yr not cap,,3,,
2026910160,421a (25 yr not cap,,3,,
2026910205,421a (25 yr not cap,,3,,
2026910206,421a (25 yr not cap,,3,,
2026910207,421a (25 yr not cap,,3,,
2026920045,421a (25 yr not cap,,3,,
2026930043,421a (25 yr not cap,,3,,
2026940052,421a (25 yr not cap,,3,,
2026990032,421a (25 yr not cap,,3,,
2027090029,421a (25 yr not cap,,3,,
2027090030,421a (25 yr not cap,,3,,
2027090129,421a (25 yr not cap,,3,,
2027160026,421a (25 yr not cap,,3,,
2027200136,421a (25 yr not cap,,3,,
1002830065,new mult dwellings - 421a,,8,234325,
1002970015,new mult dwellings - 421a,,4,117756,
1004920002,421a (15 yr not cap),9,9,572346,
1004930011,new mult dwellings - 421a,5,5,187685,
1005090019,new mult dwellings - 421a,,9,1.28512e+06,
1005090020,new mult dwellings - 421a,,9,618721,
1005620029,new mult dwellings - 421a,,8,244966,
1006370051,new mult dwellings - 421a,1,8,368225,
1006940039,new mult dwellings - 421a,111,111,5.662e+06,1.4155e+06
1006950015,421a (20 yr not cap,313,313,9.17224e+06,2.477e+06
1006990009,new mult dwellings - 421a,28,28,286875,39385
1006990033,421a (20 yr not cap,89,89,3.80669e+06,828200
1007000009,421a (20 yr not cap,135,710,290366,180000
1007010062,421a (20 yr not cap,369,378,99825,24283
1016230033,421a (25 yr not cap,,0,,
1007090031,421a (20 yr not cap,835,835,124905,20290
1007340037,421a (20 yr not cap,259,259,5.93605e+06,1.46997e+06
1007350006,421a (20 yr not cap,394,394,48800,7250
1016600024,421a (15 yr not cap),,0,,
1007350017,new mult dwellings - 421a,98,98,131000,39000
1007540001,421a (20 yr not cap,79,77,2.11765e+06,507270
1007600068,421a (20 yr not cap,207,206,236000,40000
1007610043,421a (20 yr not cap,567,569,932000,225000
1007620060,421a (20 yr not cap,199,199,341000,61000
1016880002,421a (25 yr not cap,,17,,
1007750044,421a (20 yr not cap,231,231,8.91348e+06,2.18636e+06
1007750046,421a (20 yr not cap,125,125,4.39098e+06,977398
